Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4
231.4828,-65.1,-235.5,81.9,204.6,-2528.7,-281.7,-603.9,-398.1,-2741.7,-122.7,-691.5,-525.6,-520.8,-159.9,-54.9,-217.5,-8.4,-19.8,-395.4,-234.3,-14.4,5.7,-493.8,-583.8
231.4861,-62.4,-236.4,81.6,203.7,-2535.6,-282,-598.8,-417.9,-4075.5,-129.3,-693.6,-525.9,-532.8,-158.4,-53.4,-216.3,-8.7,-20.4,-393.9,-237.3,-14.7,-6.9,-495,-582.9
231.4894,-62.7,-237,78.3,204,-2529.9,-281.1,-597,-395.1,-1556.1,-128.7,-662.4,-525,-543,-159.9,-54,-213.6,-8.4,-19.8,-394.8,-237.9,-14.4,0.9,-495.3,-583.2
231.4928,-69.3,-241.8,70.2,196.2,-2534.1,-284.1,-603.3,-392.4,-1556.1,-136.2,-665.4,-526.2,-544.5,-163.2,-56.4,-219,-8.7,-19.8,-401.4,-243.6,-14.4,-10.2,-499.8,-592.2
231.4961,-67.5,-241.5,75.6,199.2,-2529,-276.9,-593.4,-405,-2445.3,-132.3,-665.4,-524.1,-534,-163.5,-55.2,-214.8,-8.1,-20.1,-394.5,-247.2,-14.4,-13.5,-495.3,-594
231.4994,-67.2,-237.3,82.2,204.6,-2524.2,-283.2,-594.3,-381.3,-592.8,-130.5,-648.9,-529.8,-533.1,-157.5,-56.7,-213.6,-8.1,-19.8,-387,-253.8,-14.7,-1.2,-492.3,-588
231.5028,-65.4,-233.4,84.6,204,-2520.9,-283.2,-596.7,-394.8,-2593.5,-130.2,-681.6,-526.8,-543.9,-158.4,-53.4,-213.9,-8.1,-19.8,-392.7,-245.4,-14.7,-7.2,-496.5,-595.8
231.5061,-67.5,-237.3,77.1,198.6,-2534.7,-283.2,-600.6,-422.4,-4149.6,-134.7,-692.1,-543.3,-532.8,-159.6,-56.7,-215.1,-8.4,-20.1,-400.8,-239.1,-14.4,-10.5,-497.7,-589.5
231.5094,-67.5,-239.7,77.4,198.6,-2530.8,-291.6,-597.3,-401.4,-1556.1,-135,-664.2,-531.9,-533.7,-163.5,-59.4,-218.4,-8.7,-20.1,-402.6,-237.3,-14.7,-17.7,-500.1,-598.8
231.5128,-66.3,-233.1,75,194.4,-2535.3,-286.8,-598.5,-391.2,-1407.9,-139.2,-675.9,-523.2,-529.8,-162,-56.1,-216.3,-8.7,-20.1,-396.6,-249,-14.4,-13.2,-497.7,-605.7
231.5161,-66.9,-222.6,77.4,196.5,-2536.5,-290.4,-606.3,-407.1,-2371.2,-144,-678.3,-526.2,-550.5,-169.5,-63.9,-222,-8.7,-19.8,-393.6,-250.2,-14.7,-18,-499.5,-597.6
231.5194,-64.2,-239.7,74.1,194.4,-2534.1,-293.4,-606.6,-386.1,-592.8,-137.4,-658.5,-527.7,-536.4,-164.4,-60.6,-220.8,-8.4,-20.1,-393,-255,-14.7,-18.3,-495.3,-599.1
231.5228,-62.4,-234,78,199.8,-2527.2,-292.8,-605.7,-397.8,-2445.3,-134.1,-681.9,-528.3,-528.9,-163.8,-62.1,-219.6,-8.1,-19.8,-405.6,-250.2,-14.4,-9.9,-501.6,-600.9
231.5261,-63.9,-235.8,80.1,199.2,-2529.9,-289.2,-605.1,-421.5,-4001.4,-135.9,-693,-528.9,-522.9,-163.5,-62.4,-216,-8.7,-19.8,-402.3,-245.4,-14.4,-9.6,-499.8,-592.2
231.5294,-61.5,-231.6,78.3,202.8,-2523,-289.2,-605.1,-396.9,-1407.9,-132.3,-664.5,-522.6,-519.3,-163.5,-61.2,-217.2,-8.4,-19.8,-400.2,-236.7,-14.7,-11.1,-496.5,-597.6
231.5328,-64.5,-237.3,75.9,204.9,-2517.9,-281.7,-609.3,-388.8,-1407.9,-133.8,-658.8,-523.2,-525.6,-165,-65.4,-221.1,-8.7,-19.8,-396.3,-236.7,-14.7,-11.4,-497.4,-597.9
231.5361,-69,-242.7,72.6,199.8,-2520.3,-284.1,-607.8,-403.2,-2297.1,-142.8,-673.8,-529.8,-538.2,-168.9,-68.4,-229.8,-8.4,-20.1,-396.9,-251.1,-14.7,-18,-508.8,-600.9
231.5394,-66,-237,77.7,204.9,-2512.5,-283.8,-600,-381,-518.7,-139.5,-652.5,-522.9,-536.1,-162.3,-65.1,-222.9,-8.4,-20.1,-389.7,-248.1,-14.4,-12.6,-497.1,-586.5
231.5428,-65.7,-239.4,80.4,205.2,-2514.3,-284.4,-601.8,-396.3,-2519.4,-135.9,-679.8,-518.1,-546.6,-161.1,-66.3,-222,-8.4,-19.8,-391.8,-239.1,-14.4,-4.8,-494.7,-587.1
231.5461,-66.3,-238.2,81.3,206.7,-2517.6,-284.1,-605.7,-418.8,-4001.4,-137.4,-691.8,-518.4,-540,-163.8,-69.3,-221.7,-8.4,-19.8,-394.8,-243,-14.4,-16.2,-499.5,-593.1
231.5494,-65.7,-238.5,87.3,212.7,-2502.9,-276.3,-597.3,-391.5,-1482,-132.3,-655.5,-513.9,-530.7,-163.2,-64.8,-219.3,-8.7,-20.1,-398.1,-230.7,-14.7,-12.3,-491.1,-585
231.5528,-64.5,-239.7,87.9,212.7,-2502.6,-269.7,-600.6,-380.7,-1482,-132,-661.2,-513,-531.9,-163.5,-65.4,-222,-9,-19.5,-402.6,-232.8,-14.4,-8.4,-494.7,-585.3
